Package name,Reviewer name,Review,Rating
com.tryohana.android,Giampaolo Frello,Some details need to be refined but this app seems to be what every parent need to have. Looking forward to see the exciting new features that can be added.,5
com.tryohana.android,Kevin S,"Bin begeistert. Habe viele dieser Parental Control Apps ausprobiert, und das ist die erste die wirklich funktioniert und dabei noch einfach aufzusetzen ist. 5 Sterne! Würde die App allen anderen Eltern bedenkenlos weiterempfehlen.",5
